puzzle;turn_amount;sizeX;sizeY;finaltemperature;gentime;finalgoalval;finalsize;finalratio;finalcrossings;finallen
0;65;24;24;0.6165;2.5339176999987103;33.8640;25.0000;0.6640;51;42
1;86;33;22;0.5066;3.084067400021013;47.3478;27.9643;0.7174;66;56
2;93;27;18;0.5301;2.2300190000096336;49.3684;23.0651;0.7368;67;53
3;64;33;17;0.5631;1.7423737000208348;49.2974;24.7386;0.7042;70;50
4;109;23;24;0.4990;3.8638951999600977;61.6000;24.4949;0.8000;77;58
5;79;26;24;0.5717;2.970610000018496;46.9363;25.9808;0.7570;62;49
6;99;31;19;0.5982;4.2969966000528075;40.7750;25.2982;0.7281;56;46
7;108;26;21;0.5546;3.5689074999536388;47.3737;24.3721;0.7896;60;49
8;37;34;23;0.7852;0.6644532000063919;17.6690;28.9828;0.4310;41;28
9;63;31;18;0.5892;1.9057303000008687;43.5197;24.6577;0.7253;60;46
10;95;31;18;0.5717;2.7506196000031196;44.1118;24.6577;0.7352;60;48
11;90;33;23;0.4697;3.6686785999918357;60.6507;28.5657;0.7488;81;62
12;45;21;24;0.5717;1.0476673999801278;47.2000;23.4521;0.8000;59;48
13;97;29;23;0.4421;3.585979000024963;65.0167;26.8328;0.7833;83;64
14;118;31;24;0.4421;5.682280400011223;64.6988;28.2843;0.7987;81;65
15;87;29;22;0.4990;3.0182992999907583;60.0000;26.2679;0.8000;75;58
16;136;27;23;0.4990;4.725489099975675;52.3958;25.9230;0.7485;70;57
17;70;28;24;0.5546;2.208125500008464;41.6483;26.9258;0.6828;61;50
18;106;32;24;0.4990;4.861399499990512;55.0788;28.7228;0.7758;71;57
19;105;23;20;0.5717;3.10332620004192;44.1111;22.4499;0.7877;56;48
20;144;29;24;0.4355;5.650629599986132;75.8733;27.3861;0.7987;95;66
21;119;27;23;0.4841;3.612799800001085;54.1726;25.9230;0.7128;76;59
22;134;32;20;0.4697;4.9468018999905325;61.6724;26.3249;0.7807;79;62
23;94;25;22;0.5463;2.9999540999997407;51.0000;24.4540;0.7391;69;52
24;63;26;25;0.5804;2.247994599980302;43.7607;26.4953;0.7293;60;48
