puzzle;turn;currtemperature;turntime;currgoalval;currsize;currratio;currcrossings;currlen
0;1;1.0000;0.5431;2.8817;24.4949;0.2217;13;13
0;2;0.9850;0.0112;3.5233;24.4949;0.2517;14;14
0;3;0.9702;0.0108;4.3200;24.4949;0.2700;16;15
0;4;0.9557;0.0122;5.1283;24.4949;0.3017;17;16
0;5;0.9413;0.0161;5.1283;24.4949;0.3017;17;16
0;6;0.9272;0.0130;6.0300;24.4949;0.3350;18;17
0;7;0.9133;0.0114;6.7450;24.4949;0.3550;19;18
0;8;0.8996;0.0142;7.6650;24.4949;0.3650;21;19
0;9;0.8861;0.0127;8.6533;24.4949;0.3933;22;20
0;10;0.8728;0.0192;9.9200;24.4949;0.4133;24;21
0;11;0.8597;0.0255;11.3967;24.4949;0.4383;26;22
0;12;0.8468;0.0212;12.3300;24.4949;0.4567;27;23
0;13;0.8341;0.0192;13.7267;24.4949;0.4733;29;24
0;14;0.8216;0.0196;14.8500;24.4949;0.4950;30;25
0;15;0.8093;0.0247;16.0533;24.4949;0.5017;32;26
0;16;0.7972;0.0291;17.1050;24.4949;0.5183;33;27
0;17;0.7852;0.0219;18.1333;24.4949;0.5333;34;28
0;18;0.7734;0.0216;19.1333;24.4949;0.5467;35;29
0;19;0.7618;0.0208;20.2800;24.4949;0.5633;36;30
0;20;0.7504;0.0238;21.3367;24.4949;0.5767;37;31
0;21;0.7391;0.0259;22.2933;24.4949;0.5867;38;32
0;22;0.7391;0.0179;22.2933;24.4949;0.5867;38;32
0;23;0.7280;0.0231;22.2933;24.4949;0.5867;38;32
0;24;0.7171;0.0234;23.1400;24.4949;0.5933;39;33
0;25;0.7171;0.0411;23.1400;24.4949;0.5933;39;33
0;26;0.7064;0.0365;24.1333;24.4949;0.6033;40;34
0;27;0.6958;0.0339;25.2833;24.4949;0.6167;41;35
0;28;0.6958;0.0492;25.2833;24.4949;0.6167;41;35
0;29;0.6958;0.0285;25.2833;24.4949;0.6167;41;35
0;30;0.6853;0.0278;27.0183;24.4949;0.6283;43;36
0;31;0.6853;0.0325;27.0183;24.4949;0.6283;43;36
0;32;0.6853;0.0260;27.0183;24.4949;0.6283;43;36
0;33;0.6751;0.0276;27.0336;25.0000;0.6144;44;37
0;34;0.6649;0.0337;28.2240;25.0000;0.6272;45;38
0;35;0.6649;0.0365;28.2240;25.0000;0.6272;45;38
0;36;0.6649;0.0392;28.2240;25.0000;0.6272;45;38
0;37;0.6649;0.0438;28.2240;25.0000;0.6272;45;38
0;38;0.6550;0.0292;29.3664;25.0000;0.6384;46;39
0;39;0.6451;0.0312;31.0272;25.0000;0.6464;48;40
0;40;0.6451;0.0433;31.0272;25.0000;0.6464;48;40
0;41;0.6451;0.0266;31.0272;25.0000;0.6464;48;40
0;42;0.6451;0.0337;31.0272;25.0000;0.6464;48;40
0;43;0.6355;0.0297;32.6400;25.0000;0.6528;50;41
0;44;0.6259;0.0203;33.8640;25.0000;0.6640;51;42
0;45;0.6259;0.0318;33.8640;25.0000;0.6640;51;42
0;46;0.6259;0.0355;33.8640;25.0000;0.6640;51;42
0;47;0.6259;0.0275;33.8640;25.0000;0.6640;51;42
0;48;0.6259;0.0364;33.8640;25.0000;0.6640;51;42
0;49;0.6259;0.0692;33.8640;25.0000;0.6640;51;42
