puzzle;turn_amount;sizeX;sizeY;finaltemperature;gentime;finalgoalval;finalsize;finalratio;finalcrossings;finallen
0;75;24;22;0.5546;5.171074300000328;49.8000;23.9792;0.7217;69;51
1;24;33;23;0.7972;0.7067141000006814;11.6471;28.5657;0.3640;32;26
2;67;31;22;0.5301;3.7239757999996073;45.7473;27.1293;0.6535;70;54
3;66;30;20;0.5143;3.804114999999001;48.6759;25.5147;0.7158;68;54
4;56;32;22;0.5546;3.024116000000504;44.6667;27.5500;0.6667;67;49
5;57;29;18;0.5717;2.9379564999981085;42.6456;23.8747;0.7228;59;49
6;66;21;21;0.6073;3.5006386999993993;42.5083;22.0000;0.7872;54;44
7;48;22;22;0.6165;2.717755500001658;39.5085;23.0000;0.7183;55;43
8;81;31;24;0.4626;5.986144700000295;55.7700;28.2843;0.7150;78;63
9;57;31;24;0.5221;4.582442200000514;46.4363;28.2843;0.7612;61;54
10;68;31;21;0.5143;4.419673500000499;51.3864;26.5330;0.7557;68;56
11;36;33;14;0.6649;1.5865023999976984;30.5961;22.5832;0.6510;47;39
12;74;26;17;0.5381;4.397630899999058;53.9033;22.0454;0.8045;67;52
13;90;32;23;0.4489;9.608998800002155;65.5455;28.1425;0.7803;84;62
14;44;29;22;0.6073;2.321779300000344;37.2290;26.2679;0.7159;52;45
15;39;31;19;0.6451;2.045427400000335;31.3578;25.2982;0.6672;47;41
16;72;19;24;0.5381;3.8666551999995136;49.4080;22.3607;0.7720;64;51
17;76;27;23;0.5143;5.481213899998693;49.3810;25.9230;0.7262;68;55
18;58;25;19;0.5982;3.168323699999746;38.3192;22.8035;0.7096;54;45
19;76;33;22;0.4841;5.202442800000426;48.0754;27.9643;0.6586;73;58
20;86;22;22;0.5143;4.855587000001833;49.4234;23.0000;0.7845;63;55
21;129;32;22;0.3918;13.528269200000068;73.3913;27.5500;0.8340;88;72
22;11;19;25;0.9702;0.2331066999977338;3.3923;22.8035;0.2423;14;14
23;42;22;19;0.6751;1.830637700000807;33.0000;21.4476;0.7500;44;37
24;57;32;22;0.5463;4.576105799998913;45.5599;27.5500;0.7009;65;52
25;48;23;19;0.6751;2.7659172999992734;31.9812;21.9089;0.7438;43;37
26;56;23;23;0.5631;3.6074153000008664;49.9844;24.0000;0.7934;63;50
27;66;31;21;0.5546;4.640211300000374;45.6108;26.5330;0.7017;65;51
28;59;27;22;0.5221;4.082502000001114;50.9348;25.3772;0.7174;71;54
29;34;18;22;0.7280;1.5804041999981564;24.1876;20.9045;0.6911;35;33
30;15;33;17;0.9133;0.4205675999983214;7.3693;24.7386;0.3350;22;18
