puzzle;turn;currtemperature;turntime;currgoalval;currsize;currratio;currcrossings;currlen
0;1;1.0000;1.0090;2.4844;25.9808;0.1911;13;13
0;2;0.9850;0.0166;3.1111;25.9808;0.2222;14;14
0;3;0.9702;0.0149;3.6444;25.9808;0.2430;15;15
0;4;0.9557;0.0153;3.6444;25.9808;0.2430;15;15
0;5;0.9413;0.0152;4.2193;25.9808;0.2637;16;16
0;6;0.9272;0.0248;5.1467;25.9808;0.2859;18;17
0;7;0.9133;0.0168;5.7704;25.9808;0.3037;19;18
0;8;0.8996;0.0214;6.7200;25.9808;0.3200;21;19
0;9;0.8861;0.0212;7.5615;25.9808;0.3437;22;20
0;10;0.8728;0.0227;8.3129;26.4575;0.3614;23;21
0;11;0.8597;0.0282;9.2571;26.4575;0.3857;24;22
0;12;0.8468;0.0482;10.3571;26.4575;0.4143;25;23
0;13;0.8341;0.0502;11.2543;26.4575;0.4329;26;24
0;14;0.8216;0.0477;12.1500;26.4575;0.4500;27;25
0;15;0.8093;0.0486;13.0800;26.4575;0.4671;28;26
0;16;0.7972;0.0439;14.1271;26.4575;0.4871;29;27
0;17;0.7852;0.0580;14.1271;26.4575;0.4871;29;27
0;18;0.7734;0.0636;15.0000;26.4575;0.5000;30;28
0;19;0.7618;0.0980;16.3200;26.4575;0.5100;32;29
0;20;0.7504;0.0531;17.3957;26.4575;0.5271;33;30
0;21;0.7391;0.0431;18.4571;26.4575;0.5429;34;31
0;22;0.7280;0.0596;20.0057;26.4575;0.5557;36;32
0;23;0.7171;0.0770;21.0900;26.4575;0.5700;37;33
0;24;0.7064;0.0618;22.1486;26.4575;0.5829;38;34
0;25;0.6958;0.0806;23.2886;26.4575;0.5971;39;35
0;26;0.6853;0.0536;24.1714;26.4575;0.6043;40;36
0;27;0.6751;0.0758;25.4200;26.4575;0.6200;41;37
0;28;0.6649;0.1242;26.5200;26.4575;0.6314;42;38
0;29;0.6550;0.0930;26.8083;26.9258;0.6234;43;39
0;30;0.6451;0.0734;27.7352;26.9258;0.6303;44;40
0;31;0.6451;0.0595;27.7352;26.9258;0.6303;44;40
0;32;0.6355;0.0715;29.3766;26.9258;0.6386;46;41
0;33;0.6259;0.0931;29.5787;27.3861;0.6293;47;42
0;34;0.6165;0.0682;29.9148;27.8388;0.6232;48;43
0;35;0.6073;0.0768;31.1071;27.8388;0.6348;49;44
0;36;0.5982;0.0686;31.1250;28.2843;0.6225;50;45
0;37;0.5892;0.1471;31.1564;28.7228;0.6109;51;46
0;38;0.5804;0.0874;32.0824;28.7228;0.6170;52;47
0;39;0.5717;0.0986;33.7091;28.7228;0.6242;54;48
0;40;0.5631;0.0805;34.7333;28.7228;0.6315;55;49
0;41;0.5546;0.0818;36.0436;28.7228;0.6436;56;50
0;42;0.5546;0.1418;36.0436;28.7228;0.6436;56;50
0;43;0.5463;0.1135;37.2400;28.7228;0.6533;57;51
0;44;0.5381;0.0752;38.6667;28.7228;0.6667;58;52
0;45;0.5301;0.1423;41.1103;28.7228;0.6739;61;53
0;46;0.5221;0.0950;42.3103;28.7228;0.6824;62;54
0;47;0.5143;0.1035;43.9855;28.7228;0.6982;63;55
0;48;0.5143;0.1079;43.9855;28.7228;0.6982;63;55
0;49;0.5066;0.1097;45.0715;28.7228;0.7042;64;56
0;50;0.5066;0.1129;45.0715;28.7228;0.7042;64;56
0;51;0.4990;0.1169;46.0909;28.7228;0.7091;65;57
0;52;0.4915;0.1656;47.9964;28.7228;0.7164;67;58
0;53;0.4915;0.1319;47.9964;28.7228;0.7164;67;58
0;54;0.4915;0.1194;47.9964;28.7228;0.7164;67;58
0;55;0.4915;0.1685;47.9964;28.7228;0.7164;67;58
0;56;0.4915;0.1046;47.9964;28.7228;0.7164;67;58
0;57;0.4915;0.1426;47.9964;28.7228;0.7164;67;58
0;58;0.4915;0.1555;47.9964;28.7228;0.7164;67;58
0;59;0.4841;0.1243;49.2073;28.7228;0.7236;68;59
0;60;0.4768;0.1545;50.3491;28.7228;0.7297;69;60
0;61;0.4768;0.1293;50.3491;28.7228;0.7297;69;60
0;62;0.4768;0.1402;50.3491;28.7228;0.7297;69;60
0;63;0.4768;0.1595;50.3491;28.7228;0.7297;69;60
0;64;0.4768;0.1460;50.3491;28.7228;0.7297;69;60
0;65;0.4768;0.0938;50.3491;28.7228;0.7297;69;60
0;66;0.4768;0.1164;50.3491;28.7228;0.7297;69;60
0;67;0.4768;0.1339;50.3491;28.7228;0.7297;69;60
0;68;0.4768;0.1556;50.3491;28.7228;0.7297;69;60
0;69;0.4697;0.1322;51.3333;28.7228;0.7333;70;61
0;70;0.4697;0.1708;51.3333;28.7228;0.7333;70;61
0;71;0.4697;0.1609;51.3333;28.7228;0.7333;70;61
0;72;0.4697;0.1634;51.3333;28.7228;0.7333;70;61
0;73;0.4697;0.1118;51.3333;28.7228;0.7333;70;61
0;74;0.4697;0.1142;51.3333;28.7228;0.7333;70;61
0;75;0.4697;0.1572;51.3333;28.7228;0.7333;70;61
0;76;0.4626;0.1094;52.4109;28.7228;0.7382;71;62
0;77;0.4626;0.1295;52.4109;28.7228;0.7382;71;62
0;78;0.4626;0.1699;52.4109;28.7228;0.7382;71;62
0;79;0.4557;0.1221;53.8473;28.7228;0.7479;72;63
0;80;0.4557;0.1049;53.8473;28.7228;0.7479;72;63
0;81;0.4557;0.1187;53.8473;28.7228;0.7479;72;63
0;82;0.4557;0.1243;53.8473;28.7228;0.7479;72;63
0;83;0.4557;0.2007;53.8473;28.7228;0.7479;72;63
0;84;0.4557;0.1494;53.8473;28.7228;0.7479;72;63
0;85;0.4557;0.1488;53.8473;28.7228;0.7479;72;63
0;86;0.4557;0.1364;53.8473;28.7228;0.7479;72;63
0;87;0.4557;0.1709;53.8473;28.7228;0.7479;72;63
1;1;1.0000;0.0105;2.2912;28.2843;0.1762;13;13
1;2;0.9850;0.0121;2.7650;28.2843;0.1975;14;14
1;3;0.9702;0.0155;3.3200;28.2843;0.2075;16;15
1;4;0.9557;0.0135;3.9950;28.2843;0.2350;17;16
1;5;0.9413;0.0165;4.6550;28.2843;0.2450;19;17
1;6;0.9272;0.0159;5.2500;28.2843;0.2625;20;18
1;7;0.9133;0.0175;6.1050;28.2843;0.2775;22;19
1;8;0.8996;0.0225;6.7850;28.2843;0.2950;23;20
1;9;0.8861;0.0280;7.6250;28.2843;0.3050;25;21
1;10;0.8728;0.0255;8.5800;28.2843;0.3300;26;22
1;11;0.8597;0.0275;9.5512;28.2843;0.3538;27;23
1;12;0.8468;0.0364;10.6937;28.2843;0.3688;29;24
1;13;0.8341;0.0297;11.6625;28.2843;0.3887;30;25
1;14;0.8216;0.0281;12.5162;28.2843;0.4037;31;26
1;15;0.8093;0.0259;13.7363;28.2843;0.4163;33;27
1;16;0.7972;0.0313;14.8325;28.2843;0.4363;34;28
1;17;0.7852;0.0333;16.0650;28.2843;0.4462;36;29
1;18;0.7734;0.0503;17.2425;28.2843;0.4537;38;30
1;19;0.7618;0.0498;18.1837;28.2843;0.4662;39;31
1;20;0.7504;0.0376;19.4237;28.2843;0.4738;41;32
1;21;0.7391;0.0332;20.6400;28.2843;0.4800;43;33
1;22;0.7280;0.0468;21.9375;28.2843;0.4875;45;34
1;23;0.7171;0.0350;23.0575;28.2843;0.5012;46;35
1;24;0.7064;0.0576;24.2050;28.2843;0.5150;47;36
1;25;0.6958;0.0599;25.3200;28.2843;0.5275;48;37
1;26;0.6853;0.0746;26.6250;28.2843;0.5325;50;38
1;27;0.6751;0.0515;27.9500;28.2843;0.5375;52;39
1;28;0.6649;0.0604;29.2825;28.2843;0.5525;53;40
1;29;0.6550;0.0602;30.1725;28.2843;0.5587;54;41
1;30;0.6451;0.0599;31.6400;28.2843;0.5650;56;42
1;31;0.6355;0.0653;32.9175;28.2843;0.5775;57;43
1;32;0.6259;0.0832;34.0025;28.2843;0.5863;58;44
1;33;0.6165;0.0585;35.3263;28.2843;0.5988;59;45
1;34;0.6073;0.0961;36.6000;28.2843;0.6100;60;46
1;35;0.5982;0.0644;37.8963;28.2843;0.6212;61;47
1;36;0.5892;0.0599;39.0600;28.2843;0.6300;62;48
1;37;0.5892;0.1026;39.0600;28.2843;0.6300;62;48
1;38;0.5804;0.1044;41.2000;28.2843;0.6438;64;49
1;39;0.5717;0.1103;42.4937;28.2843;0.6538;65;50
1;40;0.5717;0.0907;42.4937;28.2843;0.6538;65;50
1;41;0.5631;0.0989;43.8075;28.2843;0.6637;66;51
1;42;0.5631;0.1455;43.8075;28.2843;0.6637;66;51
1;43;0.5546;0.1024;45.0575;28.2843;0.6725;67;52
1;44;0.5463;0.0890;47.6875;28.2843;0.6813;70;53
1;45;0.5381;0.0981;49.4338;28.2843;0.6963;71;54
1;46;0.5301;0.1138;50.9400;28.2843;0.7075;72;55
1;47;0.5301;0.0962;50.9400;28.2843;0.7075;72;55
1;48;0.5301;0.1567;50.9400;28.2843;0.7075;72;55
1;49;0.5301;0.1307;50.9400;28.2843;0.7075;72;55
1;50;0.5221;0.1424;51.9213;28.2843;0.7113;73;56
1;51;0.5221;0.1402;51.9213;28.2843;0.7113;73;56
1;52;0.5143;0.1167;53.6250;28.2843;0.7150;75;57
1;53;0.5066;0.0878;54.7200;28.2843;0.7200;76;58
1;54;0.4990;0.1736;55.8250;28.2843;0.7250;77;59
1;55;0.4990;0.1258;55.8250;28.2843;0.7250;77;59
1;56;0.4990;0.1184;55.8250;28.2843;0.7250;77;59
1;57;0.4990;0.1369;55.8250;28.2843;0.7250;77;59
1;58;0.4990;0.1209;55.8250;28.2843;0.7250;77;59
1;59;0.4915;0.0818;58.5000;28.2843;0.7312;80;60
1;60;0.4915;0.1175;58.5000;28.2843;0.7312;80;60
1;61;0.4915;0.1485;58.5000;28.2843;0.7312;80;60
1;62;0.4915;0.0953;58.5000;28.2843;0.7312;80;60
1;63;0.4915;0.0784;58.5000;28.2843;0.7312;80;60
1;64;0.4915;0.1238;58.5000;28.2843;0.7312;80;60
1;65;0.4915;0.1291;58.5000;28.2843;0.7312;80;60
1;66;0.4915;0.1303;58.5000;28.2843;0.7312;80;60
1;67;0.4841;0.1601;59.9400;28.2843;0.7400;81;61
1;68;0.4841;0.0832;59.9400;28.2843;0.7400;81;61
1;69;0.4841;0.0853;59.9400;28.2843;0.7400;81;61
1;70;0.4841;0.1179;59.9400;28.2843;0.7400;81;61
1;71;0.4841;0.1115;59.9400;28.2843;0.7400;81;61
1;72;0.4841;0.1043;59.9400;28.2843;0.7400;81;61
1;73;0.4841;0.1152;59.9400;28.2843;0.7400;81;61
1;74;0.4841;0.1316;59.9400;28.2843;0.7400;81;61
1;75;0.4841;0.0924;59.9400;28.2843;0.7400;81;61
1;76;0.4768;0.1219;61.3975;28.2843;0.7488;82;62
1;77;0.4768;0.1040;61.3975;28.2843;0.7488;82;62
1;78;0.4768;0.1317;61.3975;28.2843;0.7488;82;62
1;79;0.4768;0.2082;61.3975;28.2843;0.7488;82;62
1;80;0.4768;0.0993;61.3975;28.2843;0.7488;82;62
1;81;0.4768;0.1167;61.3975;28.2843;0.7488;82;62
1;82;0.4768;0.0781;61.3975;28.2843;0.7488;82;62
1;83;0.4768;0.1213;61.3975;28.2843;0.7488;82;62
1;84;0.4768;0.1039;61.3975;28.2843;0.7488;82;62
2;1;1.0000;0.0181;2.4205;26.5330;0.2017;12;13
2;2;0.9850;0.0179;2.9361;26.5330;0.2259;13;14
2;3;0.9702;0.0172;3.4205;26.5330;0.2443;14;15
2;4;0.9557;0.0192;4.2045;26.5330;0.2628;16;16
2;5;0.9413;0.0314;4.9602;26.5330;0.2756;18;17
2;6;0.9272;0.0296;5.7216;26.5330;0.3011;19;18
2;7;0.9133;0.0314;6.6529;26.9444;0.3168;21;19
2;8;0.8996;0.0287;7.6983;26.9444;0.3347;23;20
2;9;0.8861;0.0281;8.5289;26.9444;0.3554;24;21
2;10;0.8728;0.0308;9.5620;26.9444;0.3678;26;22
2;11;0.8597;0.0289;10.7218;26.9444;0.3829;28;23
2;12;0.8468;0.0289;11.5441;26.9444;0.3981;29;24
2;13;0.8341;0.0476;12.5964;26.9444;0.4063;31;25
2;14;0.8216;0.0350;13.6639;26.9444;0.4270;32;26
2;15;0.8093;0.0291;14.5455;26.9444;0.4408;33;27
2;16;0.7972;0.0281;15.9573;26.9444;0.4559;35;28
2;17;0.7852;0.0337;17.7355;26.9444;0.4793;37;29
2;18;0.7734;0.0328;18.7906;26.9444;0.4945;38;30
2;19;0.7618;0.0419;19.9298;26.9444;0.5110;39;31
2;20;0.7504;0.0448;20.8815;26.9444;0.5220;40;32
2;21;0.7391;0.0389;21.8554;26.9444;0.5331;41;33
2;22;0.7280;0.0497;22.9091;26.9444;0.5455;42;34
2;23;0.7171;0.0648;23.9284;26.9444;0.5565;43;35
2;24;0.7064;0.0412;25.7851;26.9444;0.5730;45;36
2;25;0.6958;0.0595;26.8650;26.9444;0.5840;46;37
2;26;0.6853;0.0508;29.0909;26.9444;0.6061;48;38
2;27;0.6751;0.0622;30.7094;26.9444;0.6267;49;39
2;28;0.6649;0.0830;31.6116;26.9444;0.6322;50;40
2;29;0.6550;0.0713;32.6653;26.9444;0.6405;51;41
2;30;0.6550;0.0574;32.6653;26.9444;0.6405;51;41
2;31;0.6451;0.0645;34.3113;26.9444;0.6474;53;42
2;32;0.6355;0.1025;35.4050;26.9444;0.6556;54;43
2;33;0.6259;0.0594;36.4394;26.9444;0.6625;55;44
2;34;0.6165;0.0863;37.4876;26.9444;0.6694;56;45
2;35;0.6073;0.0775;39.4917;26.9444;0.6928;57;46
2;36;0.5982;0.0596;39.7781;27.3496;0.6858;58;47
2;37;0.5982;0.0734;39.7781;27.3496;0.6858;58;47
2;38;0.5982;0.0925;39.7781;27.3496;0.6858;58;47
2;39;0.5982;0.0761;39.7781;27.3496;0.6858;58;47
2;40;0.5982;0.0870;39.7781;27.3496;0.6858;58;47
2;41;0.5982;0.0670;39.7781;27.3496;0.6858;58;47
2;42;0.5982;0.0978;39.7781;27.3496;0.6858;58;47
2;43;0.5982;0.0767;39.7781;27.3496;0.6858;58;47
2;44;0.5982;0.0776;39.7781;27.3496;0.6858;58;47
3;1;1.0000;0.0130;3.2568;21.7945;0.2505;13;13
3;2;0.9850;0.0121;3.8905;21.7945;0.2779;14;14
3;3;0.9702;0.0148;4.7053;21.7945;0.3137;15;15
3;4;0.9557;0.0196;5.9053;21.7945;0.3474;17;16
3;5;0.9413;0.0172;6.8211;21.7945;0.3789;18;17
3;6;0.9272;0.0210;7.8400;21.7945;0.4126;19;18
3;7;0.9133;0.0214;8.6940;22.3607;0.4140;21;19
3;8;0.8996;0.0253;9.7680;22.3607;0.4440;22;20
3;9;0.8861;0.0266;10.8960;22.3607;0.4540;24;21
3;10;0.8728;0.0290;12.2720;22.3607;0.4720;26;22
3;11;0.8597;0.0325;13.9780;22.3607;0.4820;29;23
3;12;0.8468;0.0514;15.0000;22.3607;0.5000;30;24
3;13;0.8341;0.0395;16.3680;22.3607;0.5280;31;25
3;14;0.8216;0.0444;17.4080;22.3607;0.5440;32;26
3;15;0.8093;0.0502;18.6120;22.3607;0.5640;33;27
3;16;0.7972;0.0405;20.2300;22.3607;0.5780;35;28
3;17;0.7852;0.0392;21.6820;22.3607;0.5860;37;29
3;18;0.7852;0.0567;21.6820;22.3607;0.5860;37;29
3;19;0.7852;0.0422;21.6820;22.3607;0.5860;37;29
3;20;0.7734;0.0470;22.5720;22.3607;0.5940;38;30
3;21;0.7618;0.0460;23.5560;22.3607;0.6040;39;31
3;22;0.7504;0.0535;24.6400;22.3607;0.6160;40;32
3;23;0.7391;0.0513;24.8365;22.8035;0.6058;41;33
3;24;0.7280;0.0400;25.9269;22.8035;0.6173;42;34
3;25;0.7171;0.0522;26.2778;23.2379;0.6111;43;35
3;26;0.7171;0.0793;26.2778;23.2379;0.6111;43;35
3;27;0.7171;0.0769;26.2778;23.2379;0.6111;43;35
3;28;0.7171;0.0768;26.2778;23.2379;0.6111;43;35
