puzzle;turn_amount;sizeX;sizeY;finaltemperature;gentime;finalgoalval;finalsize;finalratio;finalcrossings;finallen
0;291;31;20;0.0529;7.870682900014799;36.8333;25.9230;0.7083;52;48
1;359;22;19;0.0476;6.2579454999940936;27.9783;21.4476;0.7174;39;35
2;207;28;23;0.0705;4.683043400000315;28.2586;26.3818;0.6422;44;41
3;229;18;23;0.0727;3.666595699993195;30.9693;21.3542;0.6732;46;37
4;165;23;23;0.0664;3.2752391999820247;28.9653;24.0000;0.6736;43;39
5;173;32;24;0.0644;4.028040899982443;34.7333;28.7228;0.6315;55;47
6;162;34;22;0.0784;3.278407999983756;27.1304;28.3725;0.5652;48;44
7;452;32;19;0.0374;10.733200799993938;45.8667;25.6905;0.7167;64;51
8;219;21;19;0.0705;3.845817800000077;28.5136;20.9762;0.6955;41;33
9;204;32;9;0.0705;6.1033310999919195;17.1212;18.1659;0.6848;25;21
10;207;31;21;0.0727;4.572132000001147;37.6491;26.5330;0.6605;57;49
11;381;32;18;0.0455;10.088908400008222;38.9155;25.0400;0.7783;50;46
12;256;25;23;0.0634;6.820400399999926;38.1362;24.9800;0.7196;53;44
13;159;23;18;0.0727;2.4563288999779616;26.9737;21.3542;0.6579;41;35
14;200;26;23;0.0654;4.60723809999763;38.6157;25.4558;0.6775;57;46
15;316;25;23;0.0455;6.781208400003379;48.3333;24.9800;0.7436;65;52
16;324;31;23;0.0562;8.762766200001352;48.3828;27.7128;0.7331;66;58
17;262;19;25;0.0738;4.811072299984517;24.9192;22.8035;0.6558;38;34
18;299;25;23;0.0498;6.86050680000335;49.4744;24.9800;0.7276;68;54
19;122;24;23;0.0845;2.909720900002867;27.6500;24.4949;0.6583;42;41
20;211;26;20;0.0654;3.745091599994339;27.5556;23.8118;0.6561;42;40
21;491;26;20;0.0336;9.826337400008924;35.3086;23.8118;0.6790;52;40
22;117;31;21;0.0939;3.2139080000051763;42.1847;26.5330;0.6804;62;48
23;156;23;22;0.0858;2.9292842999857385;29.1341;23.4947;0.6775;43;38
24;424;25;22;0.0403;9.029664300003788;37.4331;24.4540;0.6806;55;44
25;326;32;24;0.0448;8.653188600001158;45.1455;28.7228;0.6945;65;55
26;263;27;24;0.0579;6.158675699989544;42.2400;26.4575;0.6600;64;52
27;350;24;22;0.0588;7.075818799989065;27.6104;23.9792;0.6574;42;39
28;185;25;22;0.0684;3.576587399991695;26.3378;24.4540;0.6271;42;39
29;253;21;24;0.0634;5.256420200021239;35.0127;23.4521;0.7145;49;44
30;242;19;24;0.0674;4.0113027000043076;25.7400;22.3607;0.6600;39;36
31;108;12;24;0.0998;1.9794290999998339;17.6677;18.0278;0.8031;22;22
32;247;20;22;0.0553;3.923457099997904;26.2422;21.9773;0.6729;39;31
33;395;20;22;0.0415;6.789990799996303;35.4058;21.9773;0.7226;49;42
34;114;21;25;0.0911;1.583951500011608;15.9965;23.9165;0.5332;30;28
35;442;32;22;0.0441;11.277669400005834;29.9710;27.5500;0.6377;47;44
36;105;20;20;0.1076;1.5970119000121485;20.2449;21.0000;0.6327;32;29
37;131;27;19;0.0820;2.981027100002393;26.3286;23.6643;0.6929;38;37
38;142;15;22;0.0845;1.7053040000027977;22.7772;19.1833;0.6902;33;29
39;139;24;23;0.0808;2.7603768999979366;34.0000;24.4949;0.6800;50;44
40;313;28;19;0.0513;5.892316799989203;35.1724;24.0832;0.7034;50;48
41;253;23;24;0.0644;4.742567900015274;29.1133;24.4949;0.6617;44;39
42;317;31;16;0.0506;7.081411799998023;31.0294;23.3238;0.7757;40;37
43;419;26;24;0.0415;9.340843499987386;39.4400;25.9808;0.6800;58;48
44;440;31;20;0.0403;9.890315399999963;42.8571;25.9230;0.7143;60;50
45;242;23;19;0.0760;5.092886099999305;31.9000;21.9089;0.7250;44;38
46;185;33;14;0.0871;3.622520400007488;14.7333;22.5832;0.5667;26;25
47;327;23;20;0.0529;5.31788129999768;28.5714;22.4499;0.6349;45;38
48;255;25;23;0.0529;5.5905766999931075;38.7692;24.9800;0.6923;56;48
49;115;22;24;0.0925;2.3748279999999795;28.1739;23.9792;0.6261;45;41
50;139;21;13;0.0884;1.9451340999803506;18.1461;17.5499;0.6721;27;24
51;140;25;21;0.0858;2.730160100007197;27.9231;23.9165;0.6346;44;36
52;152;30;20;0.0694;3.3806137000210583;34.4086;25.5147;0.6882;50;46
53;167;21;24;0.0749;3.5046913999831304;33.5836;23.4521;0.7145;47;45
54;160;27;24;0.0772;3.848422800016124;39.7371;26.4575;0.6971;57;51
55;248;27;24;0.0634;6.8244441999995615;43.7543;26.4575;0.7057;62;52
56;165;29;24;0.0716;3.792961600003764;38.1453;27.3861;0.6253;61;50
57;183;23;24;0.0634;12.623515999992378;34.7083;24.4949;0.7083;49;42
58;242;30;22;0.0597;6.178458799986402;46.5863;26.7021;0.7279;64;54
59;111;26;18;0.0968;1.937753000005614;25.8090;22.6495;0.6452;40;36
60;342;29;19;0.0469;7.5024390000035055;37.7100;24.4949;0.6983;54;44
61;177;26;22;0.0760;3.8554645999975037;41.2818;24.9199;0.7118;58;44
62;159;24;19;0.0871;3.1594708999909926;25.8180;22.3607;0.6620;39;33
63;192;30;21;0.0684;4.961082299996633;38.6965;26.1151;0.6789;57;51
64;226;32;21;0.0562;5.461396099999547;43.4752;26.9444;0.6901;63;50
65;259;19;19;0.0694;3.873821199988015;29.8200;20.0000;0.7100;42;34
66;393;30;21;0.0397;8.027590600016993;49.0440;26.1151;0.6628;74;59
67;242;31;18;0.0579;5.168369699997129;31.6941;24.6577;0.6743;47;42
68;180;24;19;0.0871;3.4533145999885164;28.8100;22.3607;0.6700;43;33
69;347;30;21;0.0385;8.744866599998204;38.5484;26.1151;0.7009;55;47
70;177;23;20;0.0820;2.9845018000050914;24.5794;22.4499;0.6468;38;33
71;183;24;20;0.0674;3.305268600001;30.7581;22.9129;0.6990;44;42
72;64;24;25;0.1271;0.8712970000051428;16.2077;25.4951;0.4631;35;30
73;89;23;23;0.1013;1.4903895999887027;23.9167;24.0000;0.5833;41;37
74;104;33;24;0.0911;2.8445221000001766;34.1071;29.1548;0.6435;53;48
75;391;30;20;0.0441;8.426961599994684;42.5806;25.5147;0.7097;60;50
76;205;24;22;0.0738;4.011152399994899;27.1304;23.9792;0.6783;40;38
77;385;28;24;0.0415;8.174602699989919;42.8441;26.9258;0.6910;62;48
78;193;29;20;0.0716;4.384910699998727;32.9143;25.0998;0.6857;48;40
79;365;30;23;0.0422;8.739656199992169;41.9785;27.2764;0.6882;61;53
80;143;24;19;0.0871;2.181632600026205;26.2080;22.3607;0.6240;42;37
81;137;28;23;0.0749;2.6695398000010755;24.5273;26.3818;0.5704;43;39
82;481;26;22;0.0409;11.509160999994492;35.9710;24.9199;0.7053;51;47
83;157;32;18;0.0884;3.385963799984893;31.7703;25.0400;0.6619;48;44
84;213;25;18;0.0772;3.6927813999936916;25.3846;22.2261;0.6680;38;33
85;188;12;23;0.0858;2.885265699995216;19.0545;17.6635;0.6571;29;28
86;317;25;24;0.0545;6.996787400014;38.5477;25.4951;0.6646;58;46
87;315;23;19;0.0513;5.299127799982671;27.8250;21.9089;0.6625;42;34
88;122;25;21;0.0898;1.9390483000024687;31.9091;23.9165;0.6136;52;39
89;179;25;23;0.0644;3.848587000014959;32.1955;24.9800;0.6571;49;41
90;205;32;12;0.0727;12.691130099992733;30.2005;20.7123;0.7366;41;37
91;142;29;24;0.0795;3.046287000004668;34.1320;27.3861;0.6440;53;47
92;339;26;24;0.0391;8.694611000013538;43.3541;25.9808;0.6993;62;52
93;368;18;24;0.0490;6.1309132000023965;25.9453;21.7945;0.6653;39;33
94;365;24;16;0.0483;5.923571799998172;28.7482;20.6155;0.7012;41;34
95;155;18;18;0.0925;2.207710600021528;17.0305;19.0000;0.5873;29;25
96;128;33;20;0.1029;1.882423100003507;7.8824;26.7208;0.3754;21;20
97;203;22;23;0.0760;3.7789743000175804;31.5127;23.4947;0.6431;49;44
98;188;18;25;0.0716;2.8706237000005785;19.1721;22.2261;0.5810;33;32
99;274;33;19;0.0664;12.123391100001754;34.9956;26.0768;0.6603;53;43
100;166;31;23;0.0644;4.023256999993464;35.3672;27.7128;0.6549;54;47
101;184;25;18;0.0727;4.359422299981816;33.2429;22.2261;0.7227;46;41
102;76;30;25;0.1570;0.8971980000205804;2.5484;28.3901;0.1960;13;12
103;284;26;24;0.0654;6.797881100006634;41.8415;25.9808;0.6859;61;46
104;395;27;18;0.0448;7.333228599978611;44.3910;23.0651;0.6936;64;47
105;248;28;15;0.0562;3.865481099986937;26.6164;21.5407;0.7004;38;34
106;60;23;26;0.1619;0.4803674000140745;2.2747;25.4558;0.2068;11;10
107;166;28;23;0.0760;3.5546714999945834;31.4483;26.3818;0.6552;48;42
108;83;30;17;0.1109;1.7192320000031032;26.8889;23.6220;0.6111;44;39
109;371;16;23;0.0490;5.355522600002587;23.8333;20.1990;0.7010;34;31
